"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2021-03-15,2021-03-28,"GM","Germany",2722796.5208685,"quantile",0.025,"13 day ahead cum case"
2021-03-15,2021-03-29,"GM","Germany",2733024.40153747,"quantile",0.025,"14 day ahead cum case"
2021-03-15,2021-03-30,"GM","Germany",2743162.08661018,"quantile",0.025,"15 day ahead cum case"
2021-03-15,2021-03-31,"GM","Germany",2753209.72753915,"quantile",0.025,"16 day ahead cum case"
2021-03-15,2021-04-01,"GM","Germany",2763167.58202815,"quantile",0.025,"17 day ahead cum case"
2021-03-15,2021-04-02,"GM","Germany",2773035.98421457,"quantile",0.025,"18 day ahead cum case"
2021-03-15,2021-04-03,"GM","Germany",2782815.33089701,"quantile",0.025,"19 day ahead cum case"
2021-03-15,2021-04-04,"GM","Germany",2792506.07307738,"quantile",0.025,"20 day ahead cum case"
2021-03-15,2021-04-05,"GM","Germany",2802108.70938158,"quantile",0.025,"21 day ahead cum case"
2021-03-15,2021-04-06,"GM","Germany",2811623.78036224,"quantile",0.025,"22 day ahead cum case"
2021-03-15,2021-04-07,"GM","Germany",2821051.86339791,"quantile",0.025,"23 day ahead cum case"
2021-03-15,2021-04-08,"GM","Germany",2830393.56808801,"quantile",0.025,"24 day ahead cum case"
2021-03-15,2021-04-09,"GM","Germany",2839649.53208772,"quantile",0.025,"25 day ahead cum case"
2021-03-15,2021-04-10,"GM","Germany",2848820.41733954,"quantile",0.025,"26 day ahead cum case"
2021-03-15,2021-04-11,"GM","Germany",2857906.90666346,"quantile",0.025,"27 day ahead cum case"
2021-03-15,2021-04-12,"GM","Germany",2866909.70067169,"quantile",0.025,"28 day ahead cum case"
2021-03-15,2021-04-13,"GM","Germany",2875829.50589897,"quantile",0.025,"29 day ahead cum case"
2021-03-15,2021-04-14,"GM","Germany",2884667.01266709,"quantile",0.025,"30 day ahead cum case"
2021-03-15,2021-04-15,"GM","Germany",2893422.91935984,"quantile",0.025,"31 day ahead cum case"
2021-03-15,2021-04-16,"GM","Germany",2902097.93649134,"quantile",0.025,"32 day ahead cum case"
2021-03-15,2021-04-17,"GM","Germany",2910692.78483447,"quantile",0.025,"33 day ahead cum case"
2021-03-15,2021-04-18,"GM","Germany",2919208.19372755,"quantile",0.025,"34 day ahead cum case"
2021-03-15,2021-04-19,"GM","Germany",2927644.89954228,"quantile",0.025,"35 day ahead cum case"
2021-03-15,2021-04-20,"GM","Germany",2936003.64429738,"quantile",0.025,"36 day ahead cum case"
2021-03-15,2021-04-21,"GM","Germany",2944285.17440418,"quantile",0.025,"37 day ahead cum case"
2021-03-15,2021-04-22,"GM","Germany",2952490.23953166,"quantile",0.025,"38 day ahead cum case"
2021-03-15,2021-04-23,"GM","Germany",2960619.59157935,"quantile",0.025,"39 day ahead cum case"
2021-03-15,2021-04-24,"GM","Germany",2968673.98374814,"quantile",0.025,"40 day ahead cum case"
2021-03-15,2021-04-25,"GM","Germany",2976654.16969935,"quantile",0.025,"41 day ahead cum case"
2021-03-15,2021-04-26,"GM","Germany",2984560.90279398,"quantile",0.025,"42 day ahead cum case"
2021-03-15,2021-04-27,"GM","Germany",2992394.93540421,"quantile",0.025,"43 day ahead cum case"
2021-03-15,2021-04-28,"GM","Germany",3000157.01829054,"quantile",0.025,"44 day ahead cum case"
2021-03-15,2021-04-29,"GM","Germany",3007847.90003812,"quantile",0.025,"45 day ahead cum case"
2021-03-15,2021-04-30,"GM","Germany",3015468.326521,"quantile",0.025,"46 day ahead cum case"
2021-03-15,2021-05-01,"GM","Germany",3023019.02660477,"quantile",0.025,"47 day ahead cum case"
2021-03-15,2021-05-02,"GM","Germany",3030500.70712263,"quantile",0.025,"48 day ahead cum case"
2021-03-15,2021-05-03,"GM","Germany",3037914.07419801,"quantile",0.025,"49 day ahead cum case"
2021-03-15,2021-05-04,"GM","Germany",3045259.83115729,"quantile",0.025,"50 day ahead cum case"
