"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2021-03-15,2021-05-24,"GM","Germany",82573.7536161642,"quantile",0.025,"70 day ahead cum death"
2021-03-15,2021-05-25,"GM","Germany",82664.7055056483,"quantile",0.025,"71 day ahead cum death"
2021-03-15,2021-05-26,"GM","Germany",82754.6628396089,"quantile",0.025,"72 day ahead cum death"
2021-03-15,2021-05-27,"GM","Germany",82843.6313614006,"quantile",0.025,"73 day ahead cum death"
2021-03-15,2021-05-28,"GM","Germany",82931.6161002745,"quantile",0.025,"74 day ahead cum death"
2021-03-15,2021-05-29,"GM","Germany",83018.6214064274,"quantile",0.025,"75 day ahead cum death"
2021-03-15,2021-05-30,"GM","Germany",83104.650984346,"quantile",0.025,"76 day ahead cum death"
2021-03-15,2021-05-31,"GM","Germany",83189.7079245213,"quantile",0.025,"77 day ahead cum death"
2021-03-15,2021-06-01,"GM","Germany",83273.7947336203,"quantile",0.025,"78 day ahead cum death"
2021-03-15,2021-06-02,"GM","Germany",83356.9133631798,"quantile",0.025,"79 day ahead cum death"
2021-03-15,2021-06-03,"GM","Germany",83439.0652369098,"quantile",0.025,"80 day ahead cum death"
2021-03-15,2021-06-04,"GM","Germany",83520.2512766554,"quantile",0.025,"81 day ahead cum death"
2021-03-15,2021-06-05,"GM","Germany",83600.4719271017,"quantile",0.025,"82 day ahead cum death"
2021-03-15,2021-06-06,"GM","Germany",83679.7271792664,"quantile",0.025,"83 day ahead cum death"
2021-03-15,2021-06-07,"GM","Germany",83758.0165928517,"quantile",0.025,"84 day ahead cum death"
2021-03-15,2021-06-08,"GM","Germany",83835.3393175032,"quantile",0.025,"85 day ahead cum death"
2021-03-15,2021-06-09,"GM","Germany",83911.6941130333,"quantile",0.025,"86 day ahead cum death"
2021-03-15,2021-06-10,"GM","Germany",83987.0793686585,"quantile",0.025,"87 day ahead cum death"
2021-03-15,2021-06-11,"GM","Germany",84061.4931212969,"quantile",0.025,"88 day ahead cum death"
2021-03-15,2021-06-12,"GM","Germany",84134.9330729752,"quantile",0.025,"89 day ahead cum death"
2021-03-15,2021-06-13,"GM","Germany",84207.3966073851,"quantile",0.025,"90 day ahead cum death"
2021-03-15,2021-06-14,"GM","Germany",84278.8808056348,"quantile",0.025,"91 day ahead cum death"
2021-03-15,2021-06-15,"GM","Germany",84349.3824612286,"quantile",0.025,"92 day ahead cum death"
2021-03-15,2021-06-16,"GM","Germany",84418.8980943186,"quantile",0.025,"93 day ahead cum death"
2021-03-15,2021-06-17,"GM","Germany",84487.423965261,"quantile",0.025,"94 day ahead cum death"
2021-03-15,2021-06-18,"GM","Germany",84544.4598406888,"quantile",0.025,"95 day ahead cum death"
2021-03-15,2021-06-19,"GM","Germany",84591.2725986822,"quantile",0.025,"96 day ahead cum death"
2021-03-15,2021-06-20,"GM","Germany",84637.0603734446,"quantile",0.025,"97 day ahead cum death"
2021-03-15,2021-06-21,"GM","Germany",84681.834835687,"quantile",0.025,"98 day ahead cum death"
2021-03-15,2021-06-22,"GM","Germany",84725.6075169278,"quantile",0.025,"99 day ahead cum death"
2021-03-15,2021-03-15,"GM","Germany",73701,"quantile",0.975,"0 day ahead cum death"
2021-03-15,2021-03-16,"GM","Germany",73910.2857142857,"quantile",0.975,"1 day ahead cum death"
2021-03-15,2021-03-17,"GM","Germany",74126.63001501,"quantile",0.975,"2 day ahead cum death"
2021-03-15,2021-03-18,"GM","Germany",74349.2690761101,"quantile",0.975,"3 day ahead cum death"
2021-03-15,2021-03-19,"GM","Germany",74578.6793516105,"quantile",0.975,"4 day ahead cum death"
2021-03-15,2021-03-20,"GM","Germany",74815.9653343741,"quantile",0.975,"5 day ahead cum death"
2021-03-15,2021-03-21,"GM","Germany",75062.322884773,"quantile",0.975,"6 day ahead cum death"
2021-03-15,2021-03-22,"GM","Germany",75318.6978701624,"quantile",0.975,"7 day ahead cum death"
2021-03-15,2021-03-23,"GM","Germany",75585.6177363314,"quantile",0.975,"8 day ahead cum death"
2021-03-15,2021-03-24,"GM","Germany",75863.1858882269,"quantile",0.975,"9 day ahead cum death"
2021-03-15,2021-03-25,"GM","Germany",76151.1734599426,"quantile",0.975,"10 day ahead cum death"
